country,year,bottom_50,top_1,gap
russia,2002,0.1375,0.2391,0.1016
russia,2003,0.1341,0.2325,0.09840000000000002
russia,2004,0.1389,0.2188,0.0799
russia,2005,0.1435,0.2389,0.09540000000000001
russia,2006,0.1376,0.247,0.1094
russia,2007,0.1354,0.259,0.12360000000000002
russia,2008,0.1311,0.2375,0.1064
russia,2009,0.1453,0.2058,0.0605
russia,2010,0.1646,0.1903,0.0257
russia,2011,0.1599,0.203,0.04310000000000003
russia,2012,0.1663,0.1881,0.021799999999999986
russia,2013,0.16,0.1991,0.039099999999999996
russia,2014,0.1685,0.191,0.022499999999999992
russia,2015,0.1708,0.186,0.015199999999999991
russia,2016,0.1702,0.1944,0.0242
russia,2017,0.1734,0.2,0.026600000000000013
russia,2018,0.1703,0.205,0.03469999999999998
russia,2019,0.1699,0.2021,0.032200000000000006
russia,2020,0.1568,0.2376,0.08080000000000001
russia,2021,0.1568,0.2376,0.08080000000000001
russia,2022,0.1568,0.2376,0.08080000000000001
russia,2023,0.1568,0.2376,0.08080000000000001
uk,1820,0.1659,0.248,0.0821
uk,1850,0.1646,0.25,0.0854
uk,1880,0.1541,0.266,0.11190000000000003
uk,1900,0.1455,0.31,0.1645
uk,1910,0.1515,0.3,0.1485
uk,1920,0.1932,0.2295,0.0363
uk,1930,0.2141,0.1944,-0.019700000000000023
uk,1940,0.208,0.156,-0.05199999999999999
uk,1950,0.2218,0.1118,-0.11
uk,1960,0.2276,0.0887,-0.1389
uk,1970,0.2306,0.0742,-0.15639999999999998
uk,1980,0.2219,0.0717,-0.1502
uk,1981,0.2219,0.0717,-0.1502
uk,1982,0.2203,0.0732,-0.1471
uk,1983,0.2177,0.0727,-0.14500000000000002
uk,1984,0.2155,0.0752,-0.14029999999999998
uk,1985,0.212,0.0771,-0.1349
uk,1986,0.2082,0.0791,-0.1291
uk,1987,0.2068,0.0808,-0.126
uk,1988,0.2039,0.0858,-0.1181
uk,1989,0.2064,0.0814,-0.125
