country,year,mobility,inequality_controlled,growth_controlled
Sweden,1957,0.8343885108660714,0.7155514999509172,0.7740436775319575
Sweden,1958,0.8295909035087581,0.7127871715300993,0.7722493452956314
Sweden,1959,0.8273897999541587,0.7146036952993011,0.7680752452078325
Sweden,1960,0.826638102088786,0.7160562793436593,0.7657301295490708
Sweden,1961,0.8570327839472313,0.7468278893844833,0.7656776099632123
Sweden,1962,0.8766399824129275,0.7657040678700149,0.7680736044490847
Sweden,1963,0.8824275850905071,0.7712161529440806,0.7688904328119373
Sweden,1964,0.8778494638253794,0.7650256502520569,0.769697989939899
Sweden,1965,0.8757139495807587,0.7626801205874589,0.76509891813837
Sweden,1966,0.8683585336521443,0.754462179241592,0.7641715262703219
Sweden,1967,0.8554965566832365,0.7481367347312888,0.7551588322912052
Sweden,1968,0.857930662089116,0.751583980254016,0.7529321654899677
Sweden,1969,0.8566300709868584,0.74783677952619,0.755270740484185
Sweden,1970,0.8894705993545267,0.7756320110083186,0.7615994757041479
Sweden,1971,0.9029945181211598,0.7825728142832569,0.7712073102042928
Sweden,1972,0.9069643467538446,0.7838941950196847,0.7775600745840205
Sweden,1973,0.9041277219457198,0.7786527549709388,0.7820989903909792
Sweden,1974,0.9065416553998198,0.7766174296054503,0.7856359248948157
Sweden,1975,0.9134203419906133,0.7792579736947434,0.7904573470008696
Sweden,1976,0.8989666952597867,0.7558990346836083,0.7982285680347705
Sweden,1977,0.8874962904162309,0.735421094512631,0.8025830916305442
Sweden,1978,0.8884991218613827,0.7295942680807238,0.8080785022998593
Sweden,1979,0.8999532093696347,0.7360031058671697,0.8137226878728783
Sweden,1980,0.8891791665890137,0.7191693466001967,0.8207044338950786
Sweden,1981,0.871860432228884,0.6996331008637964,0.8239063186637137
Sweden,1982,0.8716902573594396,0.6984485380040919,0.8241673060067494
Sweden,1983,0.8676735168082061,0.6978943111624278,0.821053814291815
Sweden,1984,0.8649658524622269,0.693842489919263,0.8226622682693574
Sweden,1985,0.853962845830281,0.6857716480599767,0.8206151528572045
Sweden,1986,0.8597811563583233,0.6907223907136606,0.8205108222793144
Sweden,1987,0.8622161268047571,0.6956438660883553,0.8173164115515295
Sweden,1988,0.8643730870654174,0.6992512595531435,0.8155077408929037
Sweden,1989,0.8546272580055341,0.6933542085819037,0.812905324400248
Sweden,1990,0.8384410488887635,0.6799717043831807,0.8128292017636262
Sweden,1991,0.780322770701779,0.657806191764912,0.7826868513984313
Sweden,1992,0.7677195091830311,0.6396211045294832,0.795120555675517
Sweden,1993,0.7277879464448698,0.6140202024122914,0.7926756338594155
Sweden,1994,0.7087401316921891,0.6139218913750805,0.7745752517663029
Sweden,1995,0.7329198561668578,0.620189470467902,0.7891830111158593
Sweden,1996,0.7184959575383099,0.6219740256687954,0.7726855648846884
Sweden,1997,0.7140170907383693,0.6235764872949883,0.7649056841784204
Sweden,1998,0.7199604246125906,0.628503069220543,0.7636046248373138
Sweden,1999,0.7011069831867633,0.6279332914424586,0.7461301556775091
